R|Bush, Jeb
R|Carson, Benjamin S.
R|Christie, Christopher J.
D|Clinton, Hillary Rodham
R|Cruz, Rafael Edward 'Ted'
R|Fiorina, Carly
R|Gilmore, James S IIII
R|Graham, Lindsey O.
R|Huckabee, Mike
R|Jindal, Bobby
I|Johnson, Gary
R|Kasich, John R.
D|Lessig, Lawrence
D|O'Malley, Martin Joseph
R|Pataki, George E.
R|Paul, Rand
R|Perry, James R. (Rick)
R|Rubio, Marco
D|Sanders, Bernard
R|Santorum, Richard J.
I|Stein, Jill
R|Trump, Donald J.
R|Walker, Scott
D|Webb, James Henry Jr.
