"name1","name2","similarity"
"Rubio, Marco", "Lessig, Lawrence", "1.16666666667"
"Rubio, Marco", "Johnson, Gary", "1.0"
"Graham, Lindsey O.", "Clinton, Hillary Rodham", "2.72727272727"
"Graham, Lindsey O.", "Webb, James Henry Jr.", "1.66666666667"
"Graham, Lindsey O.", "Fiorina, Carly", "1.45454545455"
"Graham, Lindsey O.", "Huckabee, Mike", "1.36363636364"
"Graham, Lindsey O.", "Santorum, Richard J.", "1.72727272727"
"Graham, Lindsey O.", "O'Malley, Martin Joseph", "1.81818181818"
"Graham, Lindsey O.", "Jindal, Bobby", "0.777777777778"
"Graham, Lindsey O.", "Sanders, Bernard", "2.63636363636"
"Graham, Lindsey O.", "Pataki, George E.", "1.54545454545"
"Graham, Lindsey O.", "Perry, James R. (Rick)", "1.0"
"Graham, Lindsey O.", "Bush, Jeb", "1.09090909091"
"Graham, Lindsey O.", "Trump, Donald J.", "1.63636363636"
"Graham, Lindsey O.", "Stein, Jill", "0.0"
"Graham, Lindsey O.", "Walker, Scott", "1.33333333333"
"Graham, Lindsey O.", "Christie, Christopher J.", "1.45454545455"
"Graham, Lindsey O.", "Kasich, John R.", "1.45454545455"
"Graham, Lindsey O.", "Gilmore, James S IIII", "1.25"
"Graham, Lindsey O.", "Lessig, Lawrence", "1.33333333333"
"Graham, Lindsey O.", "Johnson, Gary", "1.0"
"Clinton, Hillary Rodham", "Webb, James Henry Jr.", "2.66666666667"
"Clinton, Hillary Rodham", "Fiorina, Carly", "4.0"
"Clinton, Hillary Rodham", "Huckabee, Mike", "3.18181818182"
"Clinton, Hillary Rodham", "Santorum, Richard J.", "1.54545454545"
"Clinton, Hillary Rodham", "O'Malley, Martin Joseph", "1.27272727273"
"Clinton, Hillary Rodham", "Jindal, Bobby", "3.77777777778"
"Clinton, Hillary Rodham", "Sanders, Bernard", "0.818181818182"
"Clinton, Hillary Rodham", "Pataki, George E.", "3.18181818182"
"Clinton, Hillary Rodham", "Perry, James R. (Rick)", "3.55555555556"
"Clinton, Hillary Rodham", "Bush, Jeb", "3.09090909091"
"Clinton, Hillary Rodham", "Trump, Donald J.", "4.36363636364"
"Clinton, Hillary Rodham", "Stein, Jill", "5.0"
"Clinton, Hillary Rodham", "Walker, Scott", "3.22222222222"
"Clinton, Hillary Rodham", "Christie, Christopher J.", "3.27272727273"
"Clinton, Hillary Rodham", "Kasich, John R.", "3.45454545455"
"Clinton, Hillary Rodham", "Gilmore, James S IIII", "3.5"
"Clinton, Hillary Rodham", "Lessig, Lawrence", "2.0"
"Clinton, Hillary Rodham", "Johnson, Gary", "4.0"
"Webb, James Henry Jr.", "Fiorina, Carly", "1.66666666667"
"Webb, James Henry Jr.", "Huckabee, Mike", "1.44444444444"
"Webb, James Henry Jr.", "Santorum, Richard J.", "1.77777777778"
"Webb, James Henry Jr.", "O'Malley, Martin Joseph", "1.44444444444"
"Webb, James Henry Jr.", "Jindal, Bobby", "1.77777777778"
"Webb, James Henry Jr.", "Sanders, Bernard", "2.0"
"Webb, James Henry Jr.", "Pataki, George E.", "1.33333333333"
"Webb, James Henry Jr.", "Perry, James R. (Rick)", "1.77777777778"
"Webb, James Henry Jr.", "Bush, Jeb", "1.22222222222"
"Webb, James Henry Jr.", "Trump, Donald J.", "1.77777777778"
"Webb, James Henry Jr.", "Stein, Jill", "2.0"
